Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2731","Bovine Meat","2013","2013","1000 tonnes","140","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","270","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2732","Mutton & Goat Meat","2012","2012","1000 tonnes","279","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2732","Mutton & Goat Meat","2013","2013","1000 tonnes","298","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2733","Pigmeat","2012","2012","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2733","Pigmeat","2013","2013","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","277","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2734","Poultry Meat","2012","2012","1000 tonnes","289","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2734","Poultry Meat","2013","2013","1000 tonnes","288","S","Standardized data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2949","Eggs","2011","2011","1000 tonnes","280","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2949","Eggs","2012","2012","1000 tonnes","309","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2949","Eggs","2013","2013","1000 tonnes","347","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","2733","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2948","Milk - Excluding Butter","2012","2012","1000 tonnes","2908","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2948","Milk - Excluding Butter","2013","2013","1000 tonnes","3129","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","104","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2960","Fish, Seafood","2012","2012","1000 tonnes","108","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","4","Algeria","5511","Production","2960","Fish, Seafood","2013","2013","1000 tonnes","108","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","4","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2511","Wheat and products","2012","2012","1000 tonnes","4","S","Standardized data"
"FBS","Food Balance Sheets","7","Angola","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","4","S","Standardized data"
