Country Name,Country Code,Gini Avg 2011 to 2013,"Gini Flag(Selecing whichever is the closest, if two values with equal distance to 2012. Average)",ari_employment value (AVG 2011-2013),agri_gdp_percentage(AVG from 2011 to 2013),Agri_Flag,AVG GDP 2011-2013 Constant 2010,GDP Flag,Unemployment(AVG 2011 to 2013)
Cambodia,KHM,NaN,,34.32733281,33.22399336,,12940692506,,1.293666681
Kiribati,KIR,NaN,,NaN,24.15252191,,165927597.8,,NaN
St. Kitts and Nevis,KNA,37,Closest Entry,NaN,1.293833804,,791178957.9,,NaN
"Korea, Rep.",KOR,31.6,Closest Entry,6.161666552,2.216222208,,1.16E+12,,3.233333349
Kuwait,KWT,NaN,,2.437000036,0.384617152,,1.33E+11,,2.396333377
Latin America & Caribbean (excluding high income),LAC,NaN,,15.73368286,4.738303641,,5.26E+12,,6.389923126
Lao PDR,LAO,36.4,Closest Entry,70.59866587,19.09008006,,8335383864,,0.70266668
Lebanon,LBN,31.8,Closest Entry,12.88866647,3.80072829,,39823021338,,6.40899992
Liberia,LBR,33.2,Closest Entry,46.11833445,40.11013443,,2344797560,,2.276000023
Libya,LBY,NaN,,8.394000053,1.84947245,Closest Entry,48767867921,,18.96866735
St. Lucia,LCA,51.2,Closest Entry,12.62666671,2.480128786,,1444410834,,20.04333305
Latin America & Caribbean,LCN,NaN,,15.42154557,4.616918592,,5.74E+12,,6.415589098
Least developed countries: UN classification,LDC,NaN,,59.88825796,21.99086114,,7.35E+11,,4.147315305
Low income,LIC,NaN,,64.94695229,27.2220319,,3.98E+11,,3.983087367
Liechtenstein,LIE,NaN,,NaN,NaN,,5082366478,Closest Entry,NaN
Sri Lanka,LKA,39.2,Closest Entry,31.01999982,7.982502003,,66001970364,,4.143333435
Lower middle income,LMC,NaN,,43.6847512,16.16841469,,4.94E+12,,3.876870169
Low & middle income,LMY,NaN,,37.34316744,9.085186285,,2.31E+13,,4.788053667
Lesotho,LSO,54.2,Closest Entry,68.39933268,5.358523764,,2641994289,,25.4406662
